1589970511,1589970794,93256410691,6828871327781227780,10658,12,0,6,0,0,0,,
0,1589970956,93256410691,6828830243969699075,6618,,12263,69876,,,,"141.6w ","2328.8w "
0,1589971055,93256410691,6828830243969699075,6618,,12263,70647,,,,"141.6w ","2328.9w "
1589970999,1589971130,3509230670709376,6828873432906730760,59351,12,2,26,0,0,0,,
0,1589971175,93256410691,6828830243969699075,6618,,12671,71433,,,,"141.7w ","2329.0w "
0,1589971175,3509230670709376,6828755489078152456,59235,,9523,340542,,,,"11.8w ","44.7w "
0,1589971295,93256410691,6828830243969699075,6618,,12821,72118,,,,"141.7w ","2329.1w "
0,1589971295,3509230670709376,6828755489078152456,59235,,9679,345884,,,,"12.0w ","45.3w "
0,1589971415,93256410691,6828830243969699075,6618,,13072,72857,,,,"141.7w ","2329.2w "
0,1589971415,3509230670709376,6828755489078152456,59235,,9837,350946,,,,"12.1w ","45.8w "
1589970907,1589971458,109091160333,6828779417402133772,9405,12,1,7,0,0,0,,
0,1589971535,93256410691,6828830243969699075,6618,,13275,73642,,,,"141.7w ","2329.3w "
0,1589971535,3509230670709376,6828755489078152456,59235,,9972,354894,,,,"12.3w ","46.3w "
0,1589971536,109091160333,6827337095778929924,8067,,20689,210918,,,,"3.9w ","44.8w "
0,1589971655,93256410691,6828830243969699075,6618,,13457,74375,,,,"141.7w ","2329.4w "
0,1589971655,3509230670709376,6828755489078152456,59235,,10087,358338,,,,"12.4w ","46.7w "
0,1589971656,109091160333,6827337095778929924,8067,,20695,210976,,,,"3.9w ","44.8w "
0,1589971775,93256410691,6828830243969699075,6618,,13511,75068,,,,"141.7w ","2329.5w "
0,1589971775,3509230670709376,6828755489078152456,59235,,10206,361989,,,,"12.5w ","47.1w "
0,1589971776,109091160333,6827337095778929924,8067,,20697,211045,,,,"3.9w ","44.8w "
1589971601,1589971830,99263650391,6828876023728246016,7453,12,0,0,0,0,0,,
0,1589971895,93256410691,6828830243969699075,6618,,13772,75694,,,,"141.7w ","2329.5w "
0,1589971896,3509230670709376,6828755489078152456,59235,,10326,365976,,,,"12.7w ","47.5w "
0,1589971896,109091160333,6827337095778929924,8067,,20703,211101,,,,"3.9w ","44.8w "
1589971572,1589971932,93351193888,6828875894606679303,18530,10,1,43,0,0,0,,
1589971529,1589971977,1552143915691133,6828875710518545678,44651,12,0,3,0,0,0,,
1589971385,1589971983,1464200851373822,6828874996543261956,28933,12,8,25,0,0,0,,
0,1589972015,93256410691,6828830243969699075,6618,,13813,76262,,,,"141.7w ","2329.6w "
0,1589972015,3509230670709376,6828755489078152456,59235,,10483,371751,,,,"12.8w ","48.1w "
0,1589972016,109091160333,6827337095778929924,8067,,20706,211162,,,,"3.9w ","44.8w "
0,1589972016,99263650391,6828539047108021519,11400,,53,1101,,,,"141.9w ","5490.8w "
0,1589972017,93351193888,6828875894606679303,18530,,3,122,,,,"5.5w ","23.9w "
0,1589972017,1552143915691133,6819129104101625092,41564,,8106,230139,,,,"105.4w ","578.8w "
0,1589972018,1464200851373822,6824359378515217667,24451,,3300,133324,,,,"5.7w ","26.7w "
1589971501,1589972040,93142159086,6828875577072553219,28420,10,0,53,0,5,0,,
1589973021,1589973571,86847540300,6828882103472590083,21850,12,1,8,0,1,2,,
2,1589973613,86847540300,6828394663620250892,10496,,12554,166365,,,,"9.9w ","60.6w "
2,1589973683,86847540300,6828394663620250892,10496,,12555,166425,,,,"9.9w ","60.6w "
1589973579,1589973684,104206473854,6828884371546590477,8267,12,0,10,0,0,0,,
1589973357,1589973707,75675144714,6828883565258738951,36617,12,59,172,0,0,0,,
