id,总检测粉丝数,有效粉丝数,比例
100466457634,120,63,0.475
100632697804,1380,808,0.4144927536231884
100851796987,5020,1706,0.6601593625498008
100940126136,2460,1593,0.3524390243902439
101202952414,5020,2766,0.44900398406374503
101302237762,2040,987,0.5161764705882353
101439273672,5280,3240,0.38636363636363635
101817701185,4340,2536,0.41566820276497696
101962770757,2220,1278,0.4243243243243243
102034923756,5019,3371,0.3283522614066547
102416110352,1460,807,0.44726027397260276
102579618438,2440,1269,0.4799180327868853
102967070398,560,347,0.38035714285714284
103072536603,5640,3294,0.41595744680851066
104237405213,460,221,0.5195652173913043
104655810671,5020,2644,0.47330677290836654
104876687056,5580,2879,0.48405017921146953
106262550793,920,624,0.3217391304347826
106289571163,240,173,0.2791666666666667
106839518656,400,200,0.5
107668153869,40,24,0.4
107853013239,2520,1560,0.38095238095238093
108059434848,1320,700,0.4696969696969697
108167466185,3140,1643,0.4767515923566879
109140225360,5019,3960,0.2109982068141064
109599518459,3100,1642,0.4703225806451613
1349835642635132,3820,2113,0.4468586387434555
2493341868502238,880,332,0.6227272727272727
250322719094167,10240,6407,0.37431640625
2537311046741476,5020,3818,0.2394422310756972
3132860756,4360,2025,0.5355504587155964
3179409561631911,3780,2160,0.42857142857142855
3241001274057371,1420,763,0.46267605633802816
355873635971227,5020,3666,0.2697211155378486
3584025594706328,2480,1360,0.45161290322580644
3610418800496237,4971,3138,0.3687386843693422
4023861981483067,4000,2038,0.4905
52449107081,800,381,0.52375
55782694625,2240,1212,0.4589285714285714
57673734847,3380,2148,0.36449704142011835
57712892750,560,311,0.4446428571428571
57990380637,4280,2657,0.3792056074766355
58276954676,5020,3290,0.34462151394422313
58519521661,4980,3189,0.35963855421686747
58905205682,2760,1761,0.36195652173913045
59103455179,5020,2859,0.4304780876494024
59680648375,3360,2120,0.36904761904761907
59779741438,1040,663,0.3625
60309069461,5020,3546,0.2936254980079681
61259990900,5020,2881,0.42609561752988045
61726329241,5020,3005,0.40139442231075695
62787969687,1360,867,0.3625
63624404886,5020,3745,0.2539840637450199
63780000614,4140,2340,0.43478260869565216
63840023129,600,371,0.38166666666666665
64347979616,5019,3099,0.38254632396891813
65300020119,760,411,0.45921052631578946
66092291977,2360,1637,0.30635593220338986
66371849510,4977,3039,0.3893911995177818
66546428302,560,356,0.36428571428571427
68391152318,720,472,0.34444444444444444
68911475040,4500,2271,0.49533333333333335
70721892350,1040,575,0.44711538461538464
73493710136,3860,2406,0.3766839378238342
73785420488,820,452,0.44878048780487806
74185834635,1900,1053,0.4457894736842105
75162359981,3440,1585,0.5392441860465116
760499510978500,2660,2021,0.24022556390977443
78207754993,140,111,0.20714285714285716
80399343947,2700,1774,0.34296296296296297
80758328744,5020,2925,0.41733067729083667
83518205815,700,411,0.41285714285714287
84657554947,4519,2786,0.38349192299181234
85631772308,5020,2816,0.43904382470119524
87033904399,2500,1393,0.4428
91564924356,120,76,0.36666666666666664
923180163411120,2100,1122,0.4657142857142857
92387134382,1040,677,0.3490384615384615
92583342298,3120,1937,0.37916666666666665
93023813250,20,10,0.5
93366422538,1020,562,0.44901960784313727
93377508796,4946,3658,0.2604124545086939
94065844778,3240,1950,0.39814814814814814
94191185852,3440,2084,0.3941860465116279
95330433486,380,236,0.37894736842105264
95750181668,2380,1647,0.30798319327731094
96300053737,1580,902,0.4291139240506329
96553452116,5020,2950,0.4123505976095618
96637611016,4720,2984,0.3677966101694915
96681643566,5019,2831,0.43594341502291295
96935588694,5020,2978,0.40677290836653385
97211217704,800,471,0.41125
97505393097,2580,1728,0.3302325581395349
98874949681,1160,778,0.3293103448275862
99123864656,580,371,0.3603448275862069
99585144721,2940,1348,0.5414965986394558
99633623330,4680,2567,0.4514957264957265
